age;job;marital;education;default;;
27;housemaid;married;primary;no;;
21;student;single;secondary;no;;
58;management;married;tertiary;no;;
32;self-employed;married;secondary;no;;
33;blue-collar;single;secondary;no;;
25;student;single;secondary;no;;
25;technician;single;secondary;no;;
30;services;married;secondary;no;;
22;admin.;single;secondary;no;;
39;blue-collar;married;primary;no;;
46;management;divorced;tertiary;no;;
31;admin.;divorced;secondary;no;;
45;blue-collar;married;primary;no;;
32;technician;married;secondary;no;;
36;blue-collar;married;secondary;no;;
51;management;single;tertiary;yes;;
34;self-employed;single;tertiary;no;;
24;unemployed;single;secondary;no;;
45;technician;single;secondary;no;;
32;blue-collar;single;secondary;no;;
41;blue-collar;married;primary;no;;
37;blue-collar;married;primary;no;;
43;blue-collar;married;unknown;yes;;
48;admin.;married;unknown;no;;
27;technician;single;secondary;no;;
33;management;single;tertiary;no;;
29;admin.;single;secondary;no;;
34;management;single;tertiary;no;;
52;management;married;tertiary;no;;
60;management;married;unknown;no;;
32;management;divorced;tertiary;no;;
32;management;single;tertiary;no;;
56;services;divorced;unknown;no;;
31;management;single;tertiary;no;;
42;admin.;married;secondary;no;;
35;management;married;tertiary;no;;
56;retired;married;primary;no;;
48;technician;married;secondary;no;;
46;admin.;married;secondary;no;;
37;technician;single;unknown;no;;
41;entrepreneur;married;unknown;no;;
36;management;single;tertiary;no;;
45;unemployed;divorced;primary;yes;;
55;entrepreneur;married;secondary;no;;
39;technician;married;secondary;no;;
35;technician;divorced;secondary;no;;
55;admin.;married;secondary;no;;
55;technician;married;secondary;no;;
27;self-employed;single;secondary;no;;
34;technician;married;secondary;no;;
34;blue-collar;married;tertiary;no;;
25;admin.;single;secondary;no;;
41;admin.;single;secondary;no;;
43;services;married;secondary;no;;
28;management;single;tertiary;no;;
31;admin.;single;secondary;no;;
45;blue-collar;divorced;secondary;no;;
48;technician;married;tertiary;no;;
32;blue-collar;single;secondary;no;;
42;technician;married;secondary;no;;
37;management;single;tertiary;no;;
40;admin.;single;secondary;no;;
32;admin.;married;secondary;no;;
42;management;married;tertiary;no;;
43;admin.;married;secondary;no;;
44;admin.;married;secondary;no;;
37;admin.;married;secondary;no;;
37;unknown;married;unknown;no;;
37;admin.;married;tertiary;no;;
28;technician;single;tertiary;no;;
32;services;single;secondary;no;;
34;admin.;single;secondary;no;;
40;admin.;divorced;secondary;no;;
34;services;married;secondary;no;;
34;self-employed;married;tertiary;no;;
34;admin.;married;tertiary;no;;
37;services;single;secondary;no;;
36;technician;married;secondary;no;;
56;retired;married;secondary;no;;
49;blue-collar;married;primary;no;;
33;self-employed;married;secondary;no;;
30;management;single;tertiary;no;;
36;services;married;secondary;no;;
23;student;single;secondary;no;;
57;retired;divorced;secondary;no;;
27;blue-collar;single;secondary;no;;
38;services;married;secondary;no;;
42;technician;married;tertiary;no;;
34;technician;single;tertiary;no;;
48;technician;married;secondary;no;;
35;technician;single;tertiary;no;;
39;management;divorced;tertiary;no;;
29;blue-collar;single;tertiary;no;;
45;technician;single;tertiary;no;;
42;technician;married;secondary;no;;
29;technician;married;secondary;no;;
38;services;single;secondary;no;;
56;retired;married;secondary;no;;
36;technician;single;secondary;no;;
25;blue-collar;single;secondary;no;;
38;technician;married;tertiary;no;;
57;self-employed;married;secondary;no;;
31;management;married;tertiary;yes;;
42;management;married;tertiary;no;;
45;technician;married;secondary;no;;
30;blue-collar;married;secondary;no;;
49;blue-collar;married;primary;no;;
49;services;married;secondary;no;;
53;retired;married;tertiary;no;;
37;technician;married;secondary;no;;
49;blue-collar;married;primary;no;;
41;self-employed;married;primary;no;;
54;management;married;primary;no;;
32;services;single;secondary;no;;
33;technician;married;secondary;no;;
33;technician;married;secondary;no;;
36;blue-collar;married;primary;no;;
35;technician;married;tertiary;no;;
52;unknown;married;secondary;no;;
40;entrepreneur;married;tertiary;no;;
44;technician;single;secondary;no;;
45;blue-collar;single;secondary;no;;
30;student;single;secondary;no;;
48;technician;divorced;secondary;yes;;
33;blue-collar;married;secondary;no;;
57;technician;married;unknown;no;;
57;housemaid;married;primary;no;;
51;unemployed;married;tertiary;no;;
34;admin.;single;secondary;no;;
50;self-employed;married;tertiary;no;;
44;management;married;tertiary;no;;
27;admin.;married;secondary;no;;
50;blue-collar;married;secondary;no;;
36;management;married;tertiary;no;;
42;management;married;secondary;no;;
32;unemployed;single;secondary;no;;
42;management;married;tertiary;no;;
43;technician;married;secondary;no;;
31;management;married;tertiary;no;;
32;management;married;tertiary;no;;
55;blue-collar;divorced;primary;no;;
58;retired;married;primary;no;;
46;blue-collar;married;primary;no;;
55;blue-collar;married;secondary;no;;
34;management;married;tertiary;no;;
28;unemployed;single;secondary;no;;
42;technician;divorced;tertiary;no;;
29;blue-collar;single;secondary;no;;
54;housemaid;married;secondary;no;;
32;technician;single;secondary;no;;
39;technician;single;tertiary;no;;
53;entrepreneur;married;tertiary;no;;
58;technician;married;tertiary;no;;
40;self-employed;married;secondary;no;;
29;student;single;secondary;no;;
33;technician;married;tertiary;no;;
38;admin.;single;secondary;no;;
56;services;divorced;secondary;no;;
40;services;married;secondary;no;;
24;blue-collar;single;secondary;no;;
46;management;married;secondary;no;;
35;self-employed;married;secondary;no;;
35;blue-collar;single;tertiary;no;;
34;technician;married;secondary;no;;
35;housemaid;married;tertiary;no;;
38;technician;single;tertiary;no;;
50;blue-collar;married;primary;no;;
51;blue-collar;divorced;primary;no;;
59;self-employed;married;tertiary;no;;
32;blue-collar;married;secondary;no;;
37;blue-collar;single;secondary;no;;
42;admin.;divorced;secondary;no;;
40;student;married;secondary;no;;
28;technician;single;tertiary;no;;
47;admin.;married;secondary;no;;
27;self-employed;married;secondary;no;;
41;management;married;tertiary;no;;
34;admin.;married;tertiary;no;;
50;blue-collar;married;primary;no;;
47;blue-collar;married;secondary;no;;
53;services;married;secondary;no;;
53;technician;divorced;secondary;no;;
47;management;married;tertiary;no;;
49;entrepreneur;divorced;unknown;yes;;
29;management;married;tertiary;no;;
45;blue-collar;divorced;primary;no;;
38;entrepreneur;married;secondary;no;;
32;blue-collar;married;secondary;no;;
56;blue-collar;married;secondary;no;;
35;blue-collar;married;secondary;no;;
56;management;married;unknown;no;;
56;technician;married;secondary;no;;
49;entrepreneur;married;secondary;no;;
38;unemployed;married;primary;no;;
35;management;married;tertiary;no;;
38;admin.;married;tertiary;no;;
49;blue-collar;married;secondary;no;;
55;management;married;unknown;no;;
43;blue-collar;single;primary;no;;
43;management;married;tertiary;no;;
25;admin.;single;tertiary;no;;
30;blue-collar;married;primary;no;;
46;blue-collar;married;secondary;no;;
50;admin.;married;primary;no;;
35;entrepreneur;married;secondary;no;;
26;unemployed;single;secondary;no;;
45;admin.;married;unknown;no;;
37;blue-collar;married;secondary;no;;
60;self-employed;single;tertiary;no;;
38;management;married;tertiary;no;;
47;blue-collar;married;primary;no;;
33;technician;married;secondary;no;;
51;unemployed;married;secondary;no;;
35;entrepreneur;single;tertiary;no;;
35;unemployed;married;secondary;no;;
48;admin.;single;secondary;no;;
37;admin.;married;secondary;no;;
29;technician;single;tertiary;no;;
34;admin.;married;secondary;no;;
32;services;married;primary;no;;
30;management;single;tertiary;no;;
47;management;divorced;tertiary;no;;
33;blue-collar;married;primary;no;;
33;management;single;tertiary;no;;
63;retired;married;primary;no;;
51;self-employed;divorced;primary;no;;
41;management;married;tertiary;no;;
56;retired;married;tertiary;no;;
60;management;single;tertiary;no;;
41;self-employed;single;tertiary;no;;
37;management;single;unknown;no;;
36;blue-collar;single;secondary;no;;
57;management;married;tertiary;no;;
55;management;married;primary;no;;
44;admin.;married;secondary;no;;
47;self-employed;married;tertiary;no;;
31;blue-collar;married;secondary;no;;
35;management;married;tertiary;yes;;
39;management;married;tertiary;no;;
50;management;married;tertiary;no;;
29;management;married;tertiary;no;;
30;services;single;secondary;no;;
46;services;married;secondary;no;;
27;management;single;unknown;no;;
48;admin.;divorced;secondary;no;;
26;student;single;secondary;no;;
36;management;single;tertiary;no;;
42;blue-collar;married;primary;no;;
50;housemaid;married;primary;no;;
49;blue-collar;married;secondary;no;;
45;management;married;tertiary;no;;
23;student;single;secondary;no;;
38;technician;single;secondary;no;;
32;management;single;tertiary;no;;
60;technician;single;primary;no;;
30;entrepreneur;married;secondary;no;;
58;housemaid;married;tertiary;no;;
60;retired;married;primary;no;;
38;services;married;secondary;no;;
51;technician;married;secondary;no;;
42;admin.;married;secondary;no;;
30;services;single;secondary;no;;
40;management;married;primary;no;;
37;management;married;tertiary;no;;
53;technician;divorced;primary;no;;
27;services;single;secondary;no;;
39;blue-collar;married;secondary;no;;
39;blue-collar;married;primary;no;;
59;retired;married;tertiary;no;;
37;services;married;secondary;no;;
41;blue-collar;married;primary;no;;
45;blue-collar;married;primary;no;;
48;management;married;tertiary;no;;
48;technician;married;secondary;no;;
32;blue-collar;married;secondary;no;;
35;services;married;secondary;no;;
33;management;single;tertiary;no;;
28;blue-collar;single;primary;no;;
64;retired;married;unknown;no;;
35;technician;married;secondary;no;;
33;blue-collar;married;secondary;no;;
41;technician;married;secondary;no;;
34;admin.;married;secondary;no;;
37;technician;single;tertiary;no;;
38;blue-collar;married;primary;no;;
39;blue-collar;married;primary;no;;
35;technician;divorced;tertiary;no;;
28;blue-collar;single;secondary;no;;
27;blue-collar;single;secondary;no;;
48;retired;married;primary;yes;;
50;blue-collar;married;secondary;no;;
45;self-employed;married;secondary;no;;
41;technician;married;tertiary;no;;
39;technician;married;secondary;no;;
44;management;married;secondary;no;;
54;admin.;married;secondary;no;;
49;management;married;tertiary;no;;
34;blue-collar;single;secondary;no;;
42;management;married;tertiary;no;;
53;blue-collar;married;secondary;no;;
49;management;divorced;tertiary;no;;
31;services;single;secondary;no;;
45;blue-collar;single;primary;no;;
39;self-employed;married;secondary;no;;
46;technician;married;secondary;no;;
42;admin.;divorced;secondary;no;;
37;management;married;tertiary;no;;
26;technician;single;tertiary;no;;
37;management;single;tertiary;no;;
36;services;single;secondary;no;;
29;blue-collar;single;primary;no;;
36;blue-collar;married;primary;no;;
26;technician;married;tertiary;no;;
32;blue-collar;married;secondary;no;;
40;management;married;tertiary;no;;
53;management;married;primary;no;;
29;management;married;tertiary;no;;
34;technician;single;tertiary;no;;
43;blue-collar;married;secondary;no;;
56;management;married;tertiary;no;;
55;entrepreneur;divorced;tertiary;no;;
31;self-employed;married;tertiary;no;;
27;admin.;single;secondary;no;;
36;management;married;secondary;no;;
44;management;married;tertiary;no;;
37;admin.;divorced;tertiary;no;;
30;admin.;single;secondary;no;;
42;technician;single;secondary;no;;
30;management;married;tertiary;no;;
62;retired;married;secondary;no;;
24;blue-collar;married;secondary;no;;
31;technician;married;secondary;no;;
47;admin.;married;secondary;no;;
39;entrepreneur;married;tertiary;no;;
35;technician;married;secondary;no;;
35;admin.;divorced;secondary;no;;
27;technician;married;secondary;no;;
32;blue-collar;married;secondary;no;;
44;management;married;tertiary;no;;
42;blue-collar;married;secondary;no;;
34;self-employed;single;tertiary;no;;
25;services;single;secondary;no;;
40;technician;single;secondary;no;;
43;management;divorced;tertiary;no;;
55;unemployed;married;tertiary;no;;
50;blue-collar;married;secondary;no;;
45;management;divorced;tertiary;no;;
35;blue-collar;divorced;secondary;no;;
32;blue-collar;married;secondary;no;;
59;housemaid;married;secondary;no;;
34;self-employed;married;secondary;no;;
39;management;married;tertiary;no;;
40;management;single;secondary;no;;
36;blue-collar;single;primary;no;;
40;management;married;tertiary;no;;
55;self-employed;married;secondary;no;;
38;entrepreneur;married;secondary;yes;;
61;admin.;married;secondary;no;;
41;management;married;tertiary;no;;
57;blue-collar;married;primary;no;;
48;blue-collar;married;secondary;no;;
35;services;married;secondary;no;;
54;blue-collar;married;secondary;no;;
37;management;single;unknown;no;;
56;management;single;secondary;no;;
40;technician;married;secondary;no;;
40;management;married;tertiary;no;;
54;management;married;tertiary;no;;
55;housemaid;married;primary;no;;
55;services;divorced;secondary;yes;;
52;blue-collar;married;primary;no;;
55;blue-collar;single;primary;no;;
33;management;married;tertiary;no;;
52;blue-collar;married;unknown;no;;
33;services;divorced;secondary;no;;
53;admin.;married;secondary;no;;
46;admin.;married;secondary;no;;
44;technician;single;secondary;no;;
48;management;divorced;tertiary;no;;
50;housemaid;married;secondary;no;;
34;technician;single;secondary;no;;
38;technician;single;secondary;no;;
42;management;single;tertiary;no;;
32;management;single;tertiary;no;;
58;admin.;married;secondary;no;;
31;management;married;tertiary;no;;
19;student;single;primary;no;;
41;management;married;tertiary;no;;
31;unemployed;married;secondary;no;;
52;self-employed;single;primary;no;;
42;self-employed;divorced;tertiary;no;;
41;blue-collar;single;secondary;no;;
30;blue-collar;single;secondary;no;;
38;blue-collar;married;secondary;no;;
32;management;married;tertiary;no;;
52;technician;married;secondary;no;;
48;management;divorced;tertiary;no;;
36;management;married;tertiary;no;;
45;unemployed;divorced;primary;no;;
34;technician;married;tertiary;no;;
36;blue-collar;married;primary;no;;
34;management;married;tertiary;no;;
61;retired;married;secondary;no;;
54;services;married;secondary;no;;
50;entrepreneur;married;secondary;no;;
43;admin.;divorced;secondary;no;;
47;blue-collar;married;primary;no;;
45;services;married;secondary;no;;
57;retired;married;primary;no;;
27;admin.;married;secondary;no;;
49;unemployed;divorced;secondary;no;;
43;services;married;primary;no;;
40;management;married;tertiary;no;;
32;services;single;secondary;no;;
58;management;married;primary;no;;
34;admin.;single;secondary;no;;
46;technician;divorced;secondary;no;;
29;blue-collar;married;secondary;no;;
52;blue-collar;married;primary;no;;
45;management;married;tertiary;no;;
26;management;single;secondary;no;;
40;technician;married;tertiary;no;;
41;admin.;married;secondary;no;;
47;admin.;single;secondary;no;;
27;technician;single;unknown;no;;
27;services;married;secondary;no;;
48;blue-collar;married;secondary;no;;
49;admin.;married;secondary;no;;
35;blue-collar;married;primary;no;;
47;self-employed;married;secondary;yes;;
54;management;married;tertiary;no;;
39;management;single;tertiary;no;;
28;student;single;secondary;no;;
54;blue-collar;married;primary;no;;
34;technician;married;secondary;no;;
63;retired;married;secondary;no;;
42;self-employed;married;tertiary;no;;
43;technician;single;secondary;no;;
37;admin.;married;secondary;no;;
55;blue-collar;married;primary;no;;
43;management;single;tertiary;no;;
41;blue-collar;married;secondary;yes;;
47;technician;divorced;secondary;no;;
34;technician;married;secondary;no;;
28;student;single;secondary;no;;
36;services;married;secondary;no;;
50;technician;married;secondary;no;;
35;blue-collar;married;secondary;no;;
40;technician;married;secondary;no;;
26;self-employed;single;tertiary;no;;
36;management;divorced;tertiary;no;;
59;unemployed;married;primary;no;;
28;student;single;secondary;no;;
46;entrepreneur;married;unknown;no;;
50;self-employed;married;secondary;no;;
53;management;married;tertiary;no;;
35;services;divorced;secondary;no;;
58;retired;married;unknown;no;;
44;services;married;secondary;no;;
38;management;married;tertiary;no;;
49;blue-collar;married;secondary;no;;
33;technician;single;tertiary;no;;
29;management;married;tertiary;no;;
28;technician;single;secondary;no;;
31;admin.;married;secondary;no;;
33;management;single;tertiary;no;;
52;technician;married;secondary;no;;
43;management;divorced;tertiary;no;;
32;self-employed;single;secondary;no;;
36;self-employed;married;tertiary;no;;
41;blue-collar;married;secondary;no;;
43;blue-collar;married;secondary;no;;
45;self-employed;married;tertiary;no;;
39;technician;married;secondary;no;;
41;services;married;secondary;no;;
31;technician;married;secondary;no;;
37;unemployed;single;tertiary;yes;;
28;entrepreneur;married;unknown;no;;
47;housemaid;married;primary;no;;
37;housemaid;married;primary;no;;
60;retired;divorced;unknown;no;;
43;technician;divorced;secondary;no;;
58;retired;divorced;tertiary;no;;
52;entrepreneur;married;tertiary;no;;
50;blue-collar;married;primary;no;;
32;services;single;secondary;no;;
42;blue-collar;married;primary;no;;
31;admin.;married;secondary;no;;
28;blue-collar;married;secondary;no;;
36;technician;divorced;tertiary;no;;
51;unemployed;single;tertiary;no;;
46;technician;married;tertiary;no;;
50;services;single;secondary;no;;
32;blue-collar;married;secondary;no;;
26;entrepreneur;single;tertiary;no;;
41;self-employed;married;tertiary;no;;
39;technician;married;tertiary;no;;
31;blue-collar;married;secondary;no;;
28;management;single;tertiary;no;;
31;management;single;secondary;no;;
30;technician;married;tertiary;no;;
35;technician;married;tertiary;no;;
33;blue-collar;married;primary;no;;
30;technician;single;tertiary;no;;
32;blue-collar;single;secondary;no;;
40;management;single;tertiary;no;;
31;self-employed;married;tertiary;no;;
36;technician;married;secondary;no;;
33;management;single;tertiary;no;;
57;retired;married;secondary;no;;
45;technician;married;secondary;no;;
59;management;married;tertiary;no;;
30;management;single;tertiary;no;;
33;technician;married;tertiary;no;;
52;blue-collar;married;secondary;no;;
58;self-employed;divorced;tertiary;no;;
33;management;divorced;tertiary;yes;;
41;blue-collar;divorced;primary;no;;
31;self-employed;married;secondary;no;;
35;blue-collar;divorced;secondary;no;;
27;management;single;tertiary;no;;
57;admin.;divorced;unknown;no;;
56;unknown;married;unknown;no;;
53;admin.;single;secondary;no;;
39;management;married;tertiary;no;;
32;entrepreneur;single;tertiary;no;;
46;self-employed;married;secondary;no;;
56;technician;married;tertiary;no;;
46;management;divorced;tertiary;no;;
29;entrepreneur;married;secondary;no;;
60;management;married;primary;no;;
33;housemaid;single;tertiary;no;;
27;entrepreneur;single;tertiary;no;;
50;self-employed;divorced;tertiary;no;;
45;services;married;secondary;no;;
58;retired;married;secondary;no;;
59;retired;married;primary;no;;
58;retired;divorced;primary;no;;
64;retired;married;primary;no;;
47;technician;married;secondary;no;;
40;management;married;tertiary;no;;
36;technician;divorced;secondary;no;;
28;management;single;tertiary;no;;
38;technician;single;tertiary;no;;
53;entrepreneur;married;primary;no;;
46;blue-collar;single;secondary;no;;
54;technician;married;secondary;no;;
32;management;married;tertiary;no;;
55;management;married;primary;no;;
55;retired;divorced;secondary;no;;
56;technician;married;secondary;no;;
40;blue-collar;married;secondary;no;;
44;technician;married;secondary;no;;
32;entrepreneur;married;unknown;no;;
33;management;married;tertiary;no;;
41;unemployed;divorced;secondary;no;;
37;technician;married;secondary;no;;
58;management;single;tertiary;no;;
52;blue-collar;married;secondary;no;;
49;services;single;secondary;no;;
44;housemaid;married;primary;no;;
28;admin.;single;unknown;no;;
31;technician;married;secondary;no;;
37;self-employed;married;secondary;no;;
30;technician;single;tertiary;no;;
28;services;single;secondary;no;;
46;services;married;secondary;no;;
47;management;married;tertiary;no;;
35;blue-collar;married;primary;no;;
30;technician;single;tertiary;no;;
55;technician;single;secondary;no;;
22;student;single;tertiary;no;;
33;blue-collar;single;primary;no;;
53;entrepreneur;married;unknown;no;;
49;management;married;tertiary;no;;
51;retired;married;secondary;no;;
41;self-employed;married;tertiary;no;;
34;technician;married;secondary;no;;
36;blue-collar;single;secondary;no;;
35;entrepreneur;married;tertiary;no;;
29;services;married;secondary;no;;
40;technician;single;tertiary;no;;
32;management;divorced;tertiary;no;;
48;blue-collar;married;secondary;no;;
59;retired;married;unknown;no;;
35;self-employed;divorced;tertiary;no;;
33;technician;single;tertiary;no;;
55;retired;married;primary;no;;
41;blue-collar;married;secondary;no;;
42;housemaid;married;primary;no;;
46;blue-collar;married;primary;no;;
35;housemaid;divorced;secondary;no;;
28;technician;single;tertiary;no;;
25;student;single;secondary;no;;
56;management;single;tertiary;no;;
30;admin.;single;secondary;no;;
45;blue-collar;married;secondary;no;;
40;management;married;tertiary;no;;
40;blue-collar;married;secondary;no;;
39;blue-collar;married;secondary;no;;
48;entrepreneur;married;tertiary;no;;
31;technician;single;tertiary;no;;
32;management;married;tertiary;no;;
34;services;married;secondary;no;;
26;technician;single;secondary;no;;
31;management;married;tertiary;no;;
37;management;single;tertiary;no;;
29;student;single;unknown;no;;
57;technician;married;secondary;no;;
47;management;single;tertiary;no;;
38;self-employed;single;secondary;no;;
48;blue-collar;married;primary;no;;
50;management;married;tertiary;no;;
33;admin.;married;secondary;no;;
28;admin.;single;secondary;no;;
30;services;single;secondary;no;;
52;technician;divorced;secondary;no;;
36;technician;married;secondary;no;;
36;technician;single;secondary;no;;
46;services;married;secondary;no;;
57;management;married;tertiary;no;;
28;management;single;secondary;no;;
46;services;married;secondary;no;;
55;retired;married;primary;no;;
33;management;married;tertiary;no;;
53;management;married;secondary;no;;
41;technician;single;secondary;no;;
60;blue-collar;married;secondary;no;;
35;entrepreneur;married;primary;no;;
43;blue-collar;divorced;primary;no;;
57;admin.;divorced;primary;no;;
46;admin.;married;secondary;no;;
31;blue-collar;married;primary;no;;
53;technician;married;secondary;no;;
35;blue-collar;married;secondary;no;;
32;admin.;single;secondary;no;;
48;management;married;tertiary;no;;
50;admin.;married;secondary;no;;
40;blue-collar;married;primary;no;;
42;entrepreneur;married;tertiary;no;;
59;admin.;married;secondary;no;;
27;blue-collar;single;primary;no;;
32;management;single;tertiary;no;;
35;technician;single;secondary;no;;
28;services;married;secondary;no;;
37;management;divorced;secondary;no;;
57;management;married;primary;no;;
42;admin.;single;secondary;no;;
55;admin.;married;primary;no;;
52;management;married;tertiary;no;;
26;blue-collar;single;secondary;no;;
52;technician;married;secondary;no;;
26;management;single;tertiary;no;;
33;unemployed;married;secondary;no;;
24;blue-collar;single;primary;no;;
37;management;divorced;tertiary;no;;
28;technician;single;secondary;no;;
30;technician;single;secondary;no;;
33;blue-collar;married;primary;no;;
55;unknown;married;primary;no;;
33;blue-collar;married;secondary;no;;
42;blue-collar;married;secondary;no;;
37;management;married;tertiary;no;;
59;blue-collar;married;primary;no;;
27;blue-collar;single;secondary;no;;
23;student;married;tertiary;yes;;
51;management;divorced;tertiary;no;;
50;blue-collar;married;primary;no;;
43;technician;married;secondary;no;;
37;blue-collar;divorced;primary;no;;
34;management;single;tertiary;no;;
41;management;married;tertiary;no;;
26;student;single;secondary;no;;
49;management;divorced;tertiary;no;;
29;blue-collar;single;secondary;no;;
30;management;single;tertiary;no;;
38;services;divorced;secondary;no;;
58;management;married;secondary;no;;
34;student;single;unknown;no;;
53;services;divorced;unknown;no;;
50;management;married;tertiary;no;;
30;blue-collar;single;secondary;no;;
40;management;married;secondary;no;;
57;housemaid;single;secondary;no;;
40;management;married;tertiary;no;;
41;technician;married;secondary;no;;
53;technician;divorced;unknown;no;;
48;blue-collar;married;secondary;no;;
32;technician;single;secondary;no;;
34;management;married;tertiary;no;;
46;blue-collar;married;secondary;no;;
45;services;divorced;secondary;no;;
51;admin.;single;tertiary;no;;
31;management;married;secondary;no;;
47;technician;married;secondary;no;;
32;blue-collar;married;secondary;no;;
41;technician;married;secondary;no;;
37;services;single;secondary;no;;
27;blue-collar;single;primary;no;;
27;services;married;secondary;no;;
50;management;married;secondary;yes;;
31;management;single;tertiary;no;;
40;self-employed;married;tertiary;no;;
43;management;married;tertiary;no;;
39;technician;married;tertiary;no;;
31;entrepreneur;single;tertiary;no;;
48;technician;married;secondary;no;;
32;blue-collar;single;primary;no;;
47;unemployed;married;primary;no;;
35;management;single;tertiary;no;;
42;management;single;tertiary;no;;
47;blue-collar;married;secondary;no;;
59;retired;married;secondary;no;;
38;admin.;married;secondary;no;;
50;unemployed;married;secondary;no;;
27;services;single;secondary;no;;
55;housemaid;married;primary;no;;
39;services;single;secondary;no;;
31;technician;single;tertiary;no;;
37;entrepreneur;married;tertiary;no;;
28;technician;single;secondary;yes;;
42;technician;married;secondary;no;;
40;services;divorced;secondary;no;;
59;management;single;secondary;no;;
40;services;single;secondary;no;;
43;technician;married;secondary;no;;
38;technician;single;secondary;no;;
54;retired;married;primary;no;;
41;blue-collar;married;secondary;no;;
55;housemaid;divorced;primary;no;;
33;management;married;tertiary;no;;
46;blue-collar;married;secondary;no;;
36;management;married;secondary;no;;
48;technician;divorced;tertiary;no;;
42;management;married;secondary;no;;
46;management;divorced;tertiary;no;;
49;technician;married;secondary;yes;;
36;blue-collar;married;secondary;no;;
34;technician;single;tertiary;no;;
51;entrepreneur;divorced;tertiary;no;;
58;blue-collar;married;primary;no;;
48;management;married;tertiary;no;;
41;admin.;single;secondary;no;;
49;self-employed;married;primary;no;;
43;management;married;primary;no;;
32;blue-collar;single;secondary;no;;
54;retired;married;secondary;no;;
33;blue-collar;divorced;primary;no;;
35;technician;married;secondary;no;;
56;technician;married;secondary;no;;
57;technician;married;secondary;no;;
31;housemaid;single;primary;no;;
33;technician;single;secondary;no;;
29;technician;single;tertiary;no;;
38;management;single;tertiary;no;;
37;admin.;married;secondary;no;;
33;entrepreneur;married;tertiary;no;;
